# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=2.09386e-07 to 33.2194 h/Mpc,
# number of wavenumbers equal to 144
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       2.093856445484e-07      -1.550848825567e+00      -1.163136619175e+00      -1.163136619175e+00      -1.550848825567e+00      -1.174309951502e+00       6.122877950075e-01       5.968105540232e-01       6.015584224804e-12       6.015584277318e-12       6.015584277991e-12       6.015584223905e-12       6.015584275851e-12 
       2.636009087869e-07      -1.550848841488e+00      -1.163136631116e+00      -1.163136631116e+00      -1.550848841488e+00      -1.174309963557e+00       6.122877918457e-01       5.968105511451e-01       9.534058273275e-12       9.534058526224e-12       9.534058528547e-12       9.534058262180e-12       9.534058518307e-12 
       3.318538826439e-07      -1.550848852509e+00      -1.163136639382e+00      -1.163136639382e+00      -1.550848852509e+00      -1.174309971902e+00       6.122877903875e-01       5.968105498415e-01       1.511046386475e-11       1.511046442357e-11       1.511046442819e-11       1.511046383762e-11       1.511046440563e-11 
       4.177792858629e-07      -1.550848861726e+00      -1.163136646294e+00      -1.163136646294e+00      -1.550848861726e+00      -1.174309978881e+00       6.122877901390e-01       5.968105496591e-01       2.394847116198e-11       2.394847219349e-11       2.394847220103e-11       2.394847110933e-11       2.394847215953e-11 
       5.259529594940e-07      -1.550848879190e+00      -1.163136659393e+00      -1.163136659393e+00      -1.550848879190e+00      -1.174309992106e+00       6.122877890310e-01       5.968105487103e-01       3.795576836818e-11       3.795577049591e-11       3.795577050935e-11       3.795576825457e-11       3.795577042406e-11 
       6.621355461154e-07      -1.550848901419e+00      -1.163136676064e+00      -1.163136676064e+00      -1.550848901419e+00      -1.174310008938e+00       6.122877886374e-01       5.968105484645e-01       6.015583804264e-11       6.015584225568e-11       6.015584227756e-11       6.015583780771e-11       6.015584210942e-11 
       8.335792650569e-07      -1.550848934177e+00      -1.163136700633e+00      -1.163136700633e+00      -1.550848934177e+00      -1.174310033742e+00       6.122877886320e-01       5.968105486484e-01       9.534057642336e-11       9.534058492428e-11       9.534058495819e-11       9.534057592804e-11       9.534058462052e-11 
       1.049414119525e-06      -1.550848990007e+00      -1.163136742505e+00      -1.163136742505e+00      -1.550848990007e+00      -1.174310076017e+00       6.122877876452e-01       5.968105480489e-01       1.511046250647e-10       1.511046438997e-10       1.511046439572e-10       1.511046239286e-10       1.511046432118e-10 
       1.321134102565e-06      -1.550849077208e+00      -1.163136807906e+00      -1.163136807906e+00      -1.550849077208e+00      -1.174310142046e+00       6.122877864021e-01       5.968105473902e-01       2.394846784463e-10       2.394847213251e-10       2.394847214228e-10       2.394846757811e-10       2.394847197309e-10 
       1.663209294107e-06      -1.550849220838e+00      -1.163136915629e+00      -1.163136915629e+00      -1.550849220838e+00      -1.174310250803e+00       6.122877830756e-01       5.968105450981e-01       3.795576002282e-10       3.795577034247e-10       3.795577036155e-10       3.795575936962e-10       3.795576995502e-10 
       2.093856445484e-06      -1.550849445764e+00      -1.163137084323e+00      -1.163137084323e+00      -1.550849445764e+00      -1.174310421118e+00       6.122877784818e-01       5.968105420832e-01       6.015581682960e-10       6.015584181838e-10       6.015584185589e-10       6.015581522656e-10       6.015584087279e-10 
       2.636009087869e-06      -1.550849802387e+00      -1.163137351791e+00      -1.163137351791e+00      -1.550849802387e+00      -1.174310691155e+00       6.122877711657e-01       5.968105372815e-01       9.534052227247e-10       9.534058362893e-10       9.534058370710e-10       9.534051830188e-10       9.534058129533e-10 
       3.318538826439e-06      -1.550850369645e+00      -1.163137777235e+00      -1.163137777235e+00      -1.550850369645e+00      -1.174311120686e+00       6.122877590583e-01       5.968105291961e-01       1.511044882415e-09       1.511046404643e-09       1.511046406381e-09       1.511044783378e-09       1.511046346576e-09 
       4.177792858629e-06      -1.550851268882e+00      -1.163138451662e+00      -1.163138451662e+00      -1.550851268881e+00      -1.174311801592e+00       6.122877398214e-01       5.968105163437e-01       2.394843327656e-09       2.394847122403e-09       2.394847126416e-09       2.394843079945e-09       2.394846977376e-09 
       5.259529594940e-06      -1.550852693522e+00      -1.163139520145e+00      -1.163139520145e+00      -1.550852693522e+00      -1.174312880339e+00       6.122877094708e-01       5.968104960971e-01       3.795567323916e-09       3.795576807068e-09       3.795576816569e-09       3.795566703538e-09       3.795576444194e-09 
       6.621355461154e-06      -1.550854949547e+00      -1.163141212168e+00      -1.163141212168e+00      -1.550854949546e+00      -1.174314588616e+00       6.122876618373e-01       5.968104644406e-01       6.015559880825e-09       6.015583610397e-09       6.015583633243e-09       6.015558326071e-09       6.015582701592e-09 
       8.335792650569e-06      -1.550858529440e+00      -1.163143897099e+00      -1.163143897100e+00      -1.550858529437e+00      -1.174317299339e+00       6.122875852582e-01       5.968104132728e-01       9.533997399497e-09       9.534056913242e-09       9.534056969415e-09       9.533993497073e-09       9.534054632999e-09 
       1.049414119525e-05      -1.550864200131e+00      -1.163148150147e+00      -1.163148150148e+00      -1.550864200123e+00      -1.174321593241e+00       6.122874646489e-01       5.968103328720e-01       1.511031112567e-08       1.511046041065e-08       1.511046054935e-08       1.511030133106e-08       1.511045468899e-08 
       1.321134102565e-05      -1.550873188756e+00      -1.163154891691e+00      -1.163154891692e+00      -1.550873188737e+00      -1.174328399543e+00       6.122872731900e-01       5.968102051675e-01       2.394808739059e-08       2.394846209031e-08       2.394846243525e-08       2.394806279788e-08       2.394844772642e-08 
       1.663209294107e-05      -1.550887432063e+00      -1.163165574357e+00      -1.163165574359e+00      -1.550887432013e+00      -1.174339184822e+00       6.122869704006e-01       5.968100033667e-01       3.795480453465e-08       3.795574515533e-08       3.795574601529e-08       3.795474278374e-08       3.795570909214e-08 
       2.093856445484e-05      -1.550910007042e+00      -1.163182506058e+00      -1.163182506065e+00      -1.550910006918e+00      -1.174356279158e+00       6.122864902370e-01       5.968096832830e-01       6.015341662892e-08       6.015577852040e-08       6.015578067088e-08       6.015326155156e-08       6.015568795847e-08 
       2.636009087869e-05      -1.550945787821e+00      -1.163209342816e+00      -1.163209342833e+00      -1.550945787509e+00      -1.174383373677e+00       6.122857286161e-01       5.968091754158e-01       9.533449280924e-08       9.534042452607e-08       9.534042991480e-08       9.533410331639e-08       9.534019707626e-08 
